epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7022,2.37893,7.06187,1.41554,0.00103,0.30769,0.00071,0.00026,1.84693,7.43737,1.2522,0.00012,0.00012,0.00012
2,106.968,2.2395,5.0625,1.30616,0.00103,0.30769,0.00088,0.00029,2.41231,6.83771,1.44032,0.00025571,0.00025571,0.00025571
3,160.344,2.03436,4.44087,1.25812,0.00077,0.23077,0.00055,0.00014,2.0349,7.05447,1.37668,0.0003868,0.0003868,0.0003868
4,213.783,1.91287,3.56255,1.19819,0.00154,0.46154,0.00125,0.00041,1.85284,6.27288,1.21409,0.00051327,0.00051327,0.00051327
5,267.318,1.7814,3.34472,1.18199,0.00103,0.30769,0.00089,0.00025,1.76132,5.84443,1.20902,0.00063512,0.00063512,0.00063512
6,320.937,1.78131,2.98699,1.22178,0.00077,0.23077,0.00058,0.00027,1.84804,5.79917,1.18887,0.00075235,0.00075235,0.00075235
7,374.716,1.83322,3.01201,1.26126,0.00128,0.38462,0.00119,0.00027,1.80929,5.79904,1.16913,0.00086496,0.00086496,0.00086496
8,428.255,1.74581,2.97862,1.19299,0.00205,0.61538,0.00217,0.00098,1.64804,5.44179,1.10867,0.00097295,0.00097295,0.00097295
9,481.795,1.65221,2.68013,1.15396,0.00077,0.23077,0.00059,0.00026,1.58814,5.22432,1.10278,0.00107632,0.00107632,0.00107632
10,535.439,1.60919,2.36729,1.1124,0.00103,0.30769,0.00079,0.00032,1.44646,4.86529,1.06138,0.00117507,0.00117507,0.00117507
11,589.162,1.71517,2.45212,1.19935,0.00103,0.30769,0.00071,0.00018,1.80086,5.01441,1.17551,0.0012692,0.0012692,0.0012692
12,642.904,1.63584,2.29831,1.15829,0.00051,0.15385,0.00032,0.00018,1.66785,4.89686,1.17142,0.00135871,0.00135871,0.00135871
13,696.771,1.66638,2.09718,1.17144,0.00128,0.38462,0.00443,0.00289,1.71456,4.76728,1.17573,0.0014436,0.0014436,0.0014436
14,750.63,1.67289,2.13904,1.14632,0.00205,0.61538,0.09,0.06761,1.58487,4.39348,1.11889,0.00152387,0.00152387,0.00152387
15,804.507,1.69382,2.03339,1.13493,0.00282,0.84615,0.47439,0.2668,1.60457,3.88118,1.12772,0.001538,0.001538,0.001538
16,858.339,1.56163,2.10864,1.09929,0.12382,0.22838,0.09157,0.05757,1.53324,3.75562,1.09868,0.001505,0.001505,0.001505
17,912.28,1.56423,2.06566,1.10348,0.87466,0.53701,0.628,0.30295,1.70371,3.26224,1.1241,0.001472,0.001472,0.001472
18,966.141,1.47495,1.78617,1.08506,0.69753,0.46154,0.54058,0.3307,1.48314,3.15665,1.08371,0.001439,0.001439,0.001439
